scenario,base_controller,seed,mode,completed,entry_cycle,completion_cycle,emergency_travel_time_s,free_flow_time_s,emergency_delay_s,signal_stops,priority_intersections,wait_I1_s,wait_I2_s,wait_I3_s,wait_I6_s,pre_total_waiting_time,pre_waiting_per_admitted,pre_average_queue_length,pre_max_queue_length,pre_throughput_per_hour,pre_vehicles_entered,pre_vehicles_rejected,pre_vehicles_exited,pre_total_blocked,pre_final_queue_total,during_total_waiting_time,during_waiting_per_admitted,during_average_queue_length,during_max_queue_length,during_throughput_per_hour,during_vehicles_entered,during_vehicles_rejected,during_vehicles_exited,during_total_blocked,during_final_queue_total,post_total_waiting_time,post_waiting_per_admitted,post_average_queue_length,post_max_queue_length,post_throughput_per_hour,post_vehicles_entered,post_vehicles_rejected,post_vehicles_exited,post_total_blocked,post_final_queue_total,total_total_waiting_time,total_waiting_per_admitted,total_average_queue_length,total_max_queue_length,total_throughput_per_hour,total_vehicles_entered,total_vehicles_rejected,total_vehicles_exited,total_total_blocked,total_final_queue_total
balanced_medium,qubo_receding,2,B_corridor,True,40,42,140.825319354572,90.0,50.825319354572,3,4,29.143342487364862,2.856657512635138,0.0,18.825319354572002,86846.84054048013,71.72875297162547,6.031030593088898,14.970825495610992,7223.669221643613,1210.7674669157443,0.0,1203.9448702739355,0.0,0.0,36604.38132872037,74.14150545204132,6.354927314013953,16.07293449958121,7262.926226136551,493.70971233377554,0.0,484.19508174243674,0.0,0.32114101006068907,392503.06149708154,72.2106939963297,5.925468923567053,14.97325629672579,7115.647120881672,5435.5254017781845,0.0,5455.329459342615,0.0,0.0,515954.283366282,72.26247855109564,5.9716930945171525,16.07293449958121,7143.469411358988,7140.002581027705,0.0,7143.469411358988,0.0,0.0
balanced_medium,qubo_receding,3,A_no_override,True,40,43,204.17050978995167,90.0,114.17050978995167,4,0,51.580846621118326,30.0,30.0,2.58966316883334,85192.98392399782,71.48718556322133,5.916179439166515,14.997369102161212,7076.6236587113035,1191.7238488659684,0.0,1179.437276451884,0.0,0.0,33649.884731947255,72.18093561778778,5.841993877074176,14.971873887516715,7072.3124825482655,466.18798224132195,0.0,471.487498836551,0.0,0.0,400024.29366470454,72.1753387323964,6.039014095179718,14.971873887516715,7242.671063389345,5542.39579183507,0.0,5552.714481931832,0.0,0.0,518867.1623206496,72.06180478558746,6.005406971303815,14.997369102161212,7203.639257220267,7200.3076229423605,0.0,7203.639257220267,0.0,0.0
balanced_medium,qubo_receding,3,B_corridor,True,40,42,140.47830151836342,90.0,50.47830151836342,3,4,21.580846621118326,10.419153378881674,0.0,18.478301518363423,85192.98392399782,71.48718556322133,5.916179439166515,14.997369102161212,7076.6236587113035,1191.7238488659684,0.0,1179.437276451884,0.0,0.0,35158.01379518058,75.41595908618051,6.103821839441073,22.334737402140124,6962.291421516164,466.18798224132195,0.0,464.1527614344109,0.0,5.623192315903214,400513.4339714342,72.26359304065967,6.04639845971368,15.0,7252.238112174745,5542.39579183507,0.0,5560.049219333971,0.0,0.0,520864.43169061263,72.3391914577345,6.028523514937646,22.334737402140124,7203.639257220267,7200.3076229423605,0.0,7203.639257220267,0.0,0.0
balanced_medium,qubo_receding,4,A_no_override,True,40,43,207.87625853388727,90.0,117.87625853388727,4,0,56.03368212188889,30.0,30.0,1.8425764119983796,86334.19932274708,71.68369279527758,5.995430508524103,14.919017347597345,7145.151482655356,1204.3771178099053,0.0,1190.8585804425593,0.0,0.0,36058.87749050023,71.9006927299423,6.260221786545179,14.997154842146532,7557.529493522431,501.5094586909853,0.0,503.83529956816204,0.0,0.0,401359.57707374403,72.00980332209076,6.059172359205073,14.994636134432824,7283.510094682445,5573.679673564908,0.0,5584.024405923208,0.0,0.0,523752.6538869913,71.9483326197158,6.061952012580918,14.997154842146532,7278.718285933929,7279.566250065799,0.0,7278.718285933929,0.0,0.0
balanced_medium,qubo_receding,4,B_corridor,True,40,42,142.0,90.0,52.0,3,4,26.033682121888887,5.966317878111113,0.0,20.0,86334.19932274708,71.68369279527758,5.995430508524103,14.919017347597345,7145.151482655356,1204.3771178099053,0.0,1190.8585804425593,0.0,0.0,38182.207832448126,76.13457168307333,6.628855526466689,21.000854503037978,7395.682498160181,501.5094586909853,0.0,493.04549987734543,0.0,5.739803419119951,401774.0284375663,72.08416198424854,6.065429173272438,15.065231060020789,7297.583746453076,5573.679673564908,0.0,5594.814205614025,0.0,0.0,526290.4355927615,72.29694977884218,6.091324486027332,21.000854503037978,7278.718285933929,7279.566250065799,0.0,7278.718285933929,0.0,0.0
balanced_medium,qubo_exact_static,0,A_no_override,True,40,43,207.65847191660305,90.0,117.65847191660305,3,0,57.65847191660305,30.0,30.0,0.0,87589.26282127862,71.65656529754902,6.082587695922126,14.954987800428032,7304.4115587863525,1222.348049443483,0.0,1217.401926464392,0.0,0.0,35672.06934800325,72.38265137899371,6.193067595139453,14.665035986465558,7391.531433677204,492.82623209289756,0.0,492.76876224514695,0.0,0.0,395013.24993592047,71.94989636854167,5.963364280433582,14.995891197681933,7156.147616541276,5490.115620355922,0.0,5486.379839348312,0.0,0.0,518274.58210520237,71.92973345445678,5.998548403995398,14.995891197681933,7196.550528057851,7205.289901892303,0.0,7196.550528057851,0.0,0.0
balanced_medium,qubo_exact_static,0,B_corridor,True,40,42,142.0,90.0,52.0,3,4,27.658471916603048,4.341528083396952,0.0,20.0,87589.26282127862,71.65656529754902,6.082587695922126,14.954987800428032,7304.4115587863525,1222.348049443483,0.0,1217.401926464392,0.0,0.0,36765.29382013618,74.60092711381066,6.38286351044031,17.384754774427947,7355.760112060786,492.82623209289756,0.0,490.38400747071904,0.0,0.0,395163.9430567287,71.9773444463653,5.965639236967522,14.995891197681933,7159.258166247052,5490.115620355922,0.0,5488.76459412274,0.0,0.0,519518.4996981435,72.10237294709044,6.012945598358143,17.384754774427947,7196.550528057851,7205.289901892303,0.0,7196.550528057851,0.0,0.0
balanced_medium,qubo_exact_static,1,A_no_override,True,40,43,207.61027321397296,90.0,117.61027321397296,3,0,57.61027321397296,30.0,30.0,0.0,86323.15322452641,72.16652487142439,5.99466341836989,14.908214517748865,7227.14697771224,1196.1661362844366,0.0,1204.5244962853733,0.0,0.0,34105.037632354135,72.14558186665205,5.921013477839259,14.872178256277362,7150.464281769324,472.72524179500107,0.0,476.69761878462157,0.0,0.0,393196.3520648931,71.76323345767337,5.93593526668015,14.988512358785085,7136.6136046334805,5479.077977956555,0.0,5471.4037635523355,0.0,0.0,513624.5429217737,71.85600795672849,5.944728506039048,14.988512358785085,7152.62587862233,7147.969356035993,0.0,7152.62587862233,0.0,0.0
balanced_medium,qubo_exact_static,1,B_corridor,True,40,42,142.0,90.0,52.0,3,4,27.61027321397296,4.38972678602704,0.0,20.0,86323.15322452641,72.16652487142439,5.99466341836989,14.908214517748865,7227.14697771224,1196.1661362844366,0.0,1204.5244962853733,0.0,0.0,35610.267163069126,75.32973493831675,6.1823380491439455,20.496078049119966,7084.22096442923,472.72524179500107,0.0,472.2813976286153,0.0,3.6827748204528064,393347.3265809072,71.79078818798045,5.938214471330121,14.988512358785085,7142.373893097836,5479.077977956555,0.0,5475.8199847083415,0.0,0.0,515280.74696850276,72.08771069134227,5.963897534357671,20.496078049119966,7152.62587862233,7147.969356035993,0.0,7152.62587862233,0.0,0.0
balanced_medium,qubo_exact_static,2,A_no_override,True,40,43,209.14334248736486,90.0,119.14334248736486,3,0,59.14334248736486,30.0,30.0,0.0,86846.84054048013,71.72875297162547,6.031030593088898,14.970825495610992,7223.669221643613,1210.7674669157443,0.0,1203.9448702739355,0.0,0.0,35071.704662596094,71.03709687381165,6.088837615034044,14.770978374351081,7263.853845079392,493.70971233377554,0.0,484.2569230052928,0.0,0.0,392432.5636802207,72.19772417066432,5.924404644930868,14.97325629672579,7115.566458364904,5435.5254017781845,0.0,5455.26761807976,0.0,0.0,514351.10888329695,72.03794439094771,5.953137834297419,14.97325629672579,7143.469411358988,7140.002581027705,0.0,7143.469411358988,0.0,0.0
balanced_medium,qubo_exact_static,2,B_corridor,True,40,42,140.825319354572,90.0,50.825319354572,3,4,29.143342487364862,2.856657512635138,0.0,18.825319354572002,86846.84054048013,71.72875297162547,6.031030593088898,14.970825495610992,7223.669221643613,1210.7674669157443,0.0,1203.9448702739355,0.0,0.0,36618.05810995671,74.16920752249825,6.357301755200818,16.07293449958121,7251.2707203674645,493.70971233377554,0.0,483.41804802449764,0.0,0.7770337179390836,392545.04947913595,72.21841872925813,5.926102800107729,15.471853346967787,7116.660643122462,5435.5254017781845,0.0,5456.106493060554,0.0,0.0,516009.9481295728,72.27027473361225,5.972337362610796,16.07293449958121,7143.469411358988,7140.002581027705,0.0,7143.469411358988,0.0,0.0
balanced_medium,qubo_exact_static,3,A_no_override,True,40,43,204.17050978995167,90.0,114.17050978995167,4,0,51.580846621118326,30.0,30.0,2.58966316883334,85192.98392399782,71.48718556322133,5.916179439166515,14.997369102161212,7076.6236587113035,1191.7238488659684,0.0,1179.437276451884,0.0,0.0,33649.884731947255,72.18093561778778,5.841993877074176,14.971873887516715,7072.3124825482655,466.18798224132195,0.0,471.487498836551,0.0,0.0,400024.29366470454,72.1753387323964,6.039014095179718,14.971873887516715,7242.671063389345,5542.39579183507,0.0,5552.714481931832,0.0,0.0,518867.1623206496,72.06180478558746,6.005406971303815,14.997369102161212,7203.639257220267,7200.3076229423605,0.0,7203.639257220267,0.0,0.0
balanced_medium,qubo_exact_static,3,B_corridor,True,40,42,140.47830151836342,90.0,50.47830151836342,3,4,21.580846621118326,10.419153378881674,0.0,18.478301518363423,85192.98392399782,71.48718556322133,5.916179439166515,14.997369102161212,7076.6236587113035,1191.7238488659684,0.0,1179.437276451884,0.0,0.0,35158.01379518058,75.41595908618051,6.103821839441073,22.334737402140124,6962.291421516164,466.18798224132195,0.0,464.1527614344109,0.0,5.623192315903214,400513.4339714342,72.26359304065967,6.04639845971368,15.0,7252.238112174745,5542.39579183507,0.0,5560.049219333971,0.0,0.0,520864.43169061263,72.3391914577345,6.028523514937646,22.334737402140124,7203.639257220267,7200.3076229423605,0.0,7203.639257220267,0.0,0.0
